TransactionID,Items,Basket_Size,Basket_Total
0,"['citrus_fruit', 'semi-finished_bread', 'margarine', 'ready_soups']",4,36.739999999999995
1,"['tropical_fruit', 'yogurt', 'coffee']",3,24.51
2,"['pip_fruit', 'yogurt', 'cream_cheese', 'meat_spreads']",4,25.14
3,"['other_vegetables', 'whole_milk', 'condensed_milk', 'long_life_bakery_product']",4,23.25
4,"['whole_milk', 'cereals']",2,18.45
5,"['frankfurter', 'rolls/buns', 'soda']",3,16.82
6,"['chicken', 'tropical_fruit']",2,20.04
7,"['butter', 'sugar', 'fruit/vegetable_juice', 'newspapers']",4,12.209999999999999
8,"['butter_milk', 'pastry']",2,19.96
9,"['yogurt', 'beverages', 'bottled_water', 'specialty_bar']",4,22.73
10,"['beef', 'grapes', 'detergent']",3,27.020000000000003
11,"['pastry', 'soda']",2,14.99
12,"['root_vegetables', 'other_vegetables', 'whole_milk', 'dessert']",4,17.189999999999998
13,"['citrus_fruit', 'zwieback', 'newspapers']",3,16.99
14,"['berries', 'yogurt']",2,18.91
15,"['pastry', 'bottled_water']",2,8.379999999999999
16,"['whole_milk', 'curd', 'yogurt', 'pastry']",4,29.49
17,"['rolls/buns', 'pastry', 'sugar']",3,13.44
18,"['rolls/buns', 'pastry', 'soda']",3,19.44
19,"['curd_cheese', 'coffee']",2,5.99
20,"['whole_milk', 'meat_spreads', 'soda']",3,27.89
21,"['other_vegetables', 'whole_milk', 'rolls/buns', 'sugar']",4,18.919999999999998
22,"['frozen_meals', 'coffee']",2,14.56
23,"['root_vegetables', 'onions', 'hard_cheese', 'frozen_vegetables']",4,20.82
24,"['coffee', 'newspapers']",2,3.5700000000000003
25,"['berries', 'yogurt']",2,18.91
26,"['fruit/vegetable_juice', 'salty_snack', 'candles']",3,18.39
27,"['citrus_fruit', 'butter_milk', 'yogurt', 'cream_cheese']",4,38.97
28,"['grapes', 'photo/film']",2,11.8
29,"['whole_milk', 'yogurt', 'brown_bread']",3,23.189999999999998
30,"['citrus_fruit', 'tropical_fruit']",2,26.189999999999998
31,"['soda', 'misc._beverages']",2,15.36
32,"['frankfurter', 'rolls/buns', 'bottled_water']",3,10.21
33,"['rolls/buns', 'fruit/vegetable_juice']",2,6.98
34,"['tropical_fruit', 'pip_fruit']",2,16.17
35,"['packaged_fruit/vegetables', 'bottled_water']",2,12.959999999999999
36,"['berries', 'whipped/sour_cream']",2,19.16
37,"['citrus_fruit', 'berries', 'uht-milk', 'processed_cheese']",4,45.83
38,"['tropical_fruit', 'whole_milk', 'yogurt']",3,30.56
39,"['whole_milk', 'cream_cheese', 'soda']",3,23.63
40,"['pastry', 'soda']",2,14.99
41,"['frankfurter', 'dessert']",2,7.1899999999999995
42,"['berries', 'soda']",2,20.509999999999998
43,"['tropical_fruit', 'other_vegetables', 'coffee']",3,19.85
44,"['rolls/buns', 'instant_food_products']",2,5.4
45,"['whole_milk', 'frozen_vegetables']",2,17.54
46,"['frankfurter', 'rolls/buns']",2,7.85
47,"['pasta', 'popcorn']",2,9.18
48,"['coffee', 'shopping_bags']",2,15.66
