TransactionID,Items,Basket_Size
0,"['citrus_fruit', 'semi-finished_bread', 'margarine', 'ready_soups']",4
1,"['tropical_fruit', 'yogurt', 'coffee']",3
2,"['pip_fruit', 'yogurt', 'cream_cheese', 'meat_spreads']",4
3,"['other_vegetables', 'whole_milk', 'condensed_milk', 'long_life_bakery_product']",4
4,"['whole_milk', 'cereals']",2
5,"['frankfurter', 'rolls/buns', 'soda']",3
6,"['chicken', 'tropical_fruit']",2
7,"['butter', 'sugar', 'fruit/vegetable_juice', 'newspapers']",4
8,"['butter_milk', 'pastry']",2
9,"['yogurt', 'beverages', 'bottled_water', 'specialty_bar']",4
10,"['beef', 'grapes', 'detergent']",3
11,"['pastry', 'soda']",2
12,"['root_vegetables', 'other_vegetables', 'whole_milk', 'dessert']",4
13,"['citrus_fruit', 'zwieback', 'newspapers']",3
14,"['berries', 'yogurt']",2
15,"['pastry', 'bottled_water']",2
16,"['whole_milk', 'curd', 'yogurt', 'pastry']",4
17,"['rolls/buns', 'pastry', 'sugar']",3
18,"['rolls/buns', 'pastry', 'soda']",3
19,"['curd_cheese', 'coffee']",2
20,"['whole_milk', 'meat_spreads', 'soda']",3
21,"['other_vegetables', 'whole_milk', 'rolls/buns', 'sugar']",4
22,"['frozen_meals', 'coffee']",2
23,"['root_vegetables', 'onions', 'hard_cheese', 'frozen_vegetables']",4
24,"['coffee', 'newspapers']",2
25,"['berries', 'yogurt']",2
26,"['fruit/vegetable_juice', 'salty_snack', 'candles']",3
27,"['citrus_fruit', 'butter_milk', 'yogurt', 'cream_cheese']",4
28,"['grapes', 'photo/film']",2
29,"['whole_milk', 'yogurt', 'brown_bread']",3
30,"['citrus_fruit', 'tropical_fruit']",2
31,"['soda', 'misc._beverages']",2
32,"['frankfurter', 'rolls/buns', 'bottled_water']",3
33,"['rolls/buns', 'fruit/vegetable_juice']",2
34,"['tropical_fruit', 'pip_fruit']",2
35,"['packaged_fruit/vegetables', 'bottled_water']",2
36,"['berries', 'whipped/sour_cream']",2
37,"['citrus_fruit', 'berries', 'uht-milk', 'processed_cheese']",4
38,"['tropical_fruit', 'whole_milk', 'yogurt']",3
39,"['whole_milk', 'cream_cheese', 'soda']",3
40,"['pastry', 'soda']",2
41,"['frankfurter', 'dessert']",2
42,"['berries', 'soda']",2
43,"['tropical_fruit', 'other_vegetables', 'coffee']",3
44,"['rolls/buns', 'instant_food_products']",2
45,"['whole_milk', 'frozen_vegetables']",2
46,"['frankfurter', 'rolls/buns']",2
47,"['pasta', 'popcorn']",2
48,"['coffee', 'shopping_bags']",2
49,"['whole_milk', 'butter', 'dessert', 'rolls/buns']",4
50,"['frankfurter', 'soda', 'chewing_gum']",3
51,"['tropical_fruit', 'specialty_cheese', 'bottled_water']",3
52,"['beverages', 'soda']",2
53,"['whole_milk', 'pastry', 'long_life_bakery_product']",3
54,"['whole_milk', 'cream_cheese', 'cereals', 'dog_food']",4
55,"['whole_milk', 'salt']",2
56,"['dessert', 'ice_cream']",2
57,"['other_vegetables', 'ice_cream']",2
58,"['other_vegetables', 'bottled_water']",2
59,"['herbs', 'candy']",2
60,"['frankfurter', 'rolls/buns']",2
61,"['curd', 'rolls/buns']",2
62,"['whole_milk', 'bottled_water', 'newspapers']",3
63,"['rolls/buns', 'chewing_gum']",2
64,"['citrus_fruit', 'pastry']",2
65,"['rolls/buns', 'pastry', 'soda']",3
66,"['condensed_milk', 'sugar', 'coffee', 'shopping_bags']",4
67,"['whole_milk', 'beverages', 'uht-milk', 'soda']",4
68,"['beverages', 'specialty_bar']",2
69,"['bottled_water', 'fruit/vegetable_juice']",2
70,"['cleaner', 'female_sanitary_products']",2
71,"['misc._beverages', 'newspapers']",2
72,"['whole_milk', 'mustard', 'bottled_water']",3
73,"['meat', 'other_vegetables', 'butter', 'rolls/buns']",4
74,"['whole_milk', 'whipped/sour_cream', 'semi-finished_bread', 'margarine']",4
75,"['citrus_fruit', 'whole_milk', 'rolls/buns']",3
76,"['hard_cheese', 'rolls/buns', 'bottled_water', 'newspapers']",4
77,"['cream_cheese', 'rolls/buns', 'soda', 'chocolate']",4
78,"['whole_milk', 'beverages']",2
79,"['rolls/buns', 'soda']",2
80,"['pip_fruit', 'other_vegetables', 'fruit/vegetable_juice']",3
81,"['root_vegetables', 'other_vegetables', 'yogurt']",3
82,"['root_vegetables', 'whole_milk', 'pet_care', 'detergent']",4
83,"['pickled_vegetables', 'coffee']",2
84,"['turkey', 'pip_fruit', 'salad_dressing', 'pastry']",4
85,"['citrus_fruit', 'tropical_fruit']",2
86,"['citrus_fruit', 'sugar', 'sauces']",3
87,"['citrus_fruit', 'packaged_fruit/vegetables', 'yogurt', 'bottled_water']",4
88,"['uht-milk', 'coffee']",2
89,"['beef', 'citrus_fruit', 'other_vegetables', 'yogurt']",4
90,"['other_vegetables', 'yogurt', 'brown_bread', 'instant_coffee']",4
91,"['bottled_water', 'cake_bar']",2
92,"['tropical_fruit', 'soda', 'salty_snack']",3
93,"['grapes', 'root_vegetables']",2
94,"['domestic_eggs', 'brown_bread', 'photo/film']",3
95,"['tropical_fruit', 'whole_milk']",2
96,"['margarine', 'hygiene_articles']",2
97,"['soda', 'specialty_chocolate']",2
98,"['frankfurter', 'rolls/buns']",2
99,"['salt', 'salty_snack', 'cookware']",3
100,"['other_vegetables', 'butter', 'specialty_chocolate']",3
101,"['frankfurter', 'whole_milk', 'butter_milk']",3
102,"['whole_milk', 'soda']",2
103,"['whole_milk', 'hygiene_articles']",2
104,"['citrus_fruit', 'whole_milk', 'curd', 'soft_cheese']",4
105,"['pastry', 'fruit/vegetable_juice']",2
106,"['other_vegetables', 'bottled_water']",2
107,"['berries', 'white_bread']",2
108,"['berries', 'coffee']",2
109,"['other_vegetables', 'butter_milk', 'frozen_meals', 'bottled_water']",4
110,"['rolls/buns', 'newspapers']",2
111,"['whole_milk', 'frozen_dessert', 'salty_snack', 'napkins']",4
112,"['tropical_fruit', 'butter_milk', 'rolls/buns', 'bottled_water']",4
113,"['butter_milk', 'yogurt']",2
114,"['hard_cheese', 'pastry', 'napkins']",3
115,"['onions', 'whole_milk', 'beverages', 'frozen_dessert']",4
116,"['yogurt', 'chocolate']",2
117,"['domestic_eggs', 'rolls/buns', 'dish_cleaner', 'hygiene_articles']",4
118,"['meat', 'other_vegetables', 'whole_milk', 'whipped/sour_cream']",4
